DATE,NROU
1949-01-01,5.255
1949-04-01,5.261
1949-07-01,5.268
1949-10-01,5.274
1950-01-01,5.281
1950-04-01,5.287
1950-07-01,5.294
1950-10-01,5.301
1951-01-01,5.308
1951-04-01,5.314
1951-07-01,5.321
1951-10-01,5.327
1952-01-01,5.333
1952-04-01,5.339
1952-07-01,5.344
1952-10-01,5.35
1953-01-01,5.354
1953-04-01,5.359
1953-07-01,5.362
1953-10-01,5.366
1954-01-01,5.369
1954-04-01,5.373
1954-07-01,5.375
1954-10-01,5.378
1955-01-01,5.381
1955-04-01,5.383
1955-07-01,5.386
1955-10-01,5.388
1956-01-01,5.39
1956-04-01,5.393
1956-07-01,5.395
1956-10-01,5.398
1957-01-01,5.401
1957-04-01,5.404
1957-07-01,5.407
1957-10-01,5.41
1958-01-01,5.414
1958-04-01,5.418
1958-07-01,5.422
1958-10-01,5.427
1959-01-01,5.432
1959-04-01,5.438
1959-07-01,5.443
1959-10-01,5.45
1960-01-01,5.456
1960-04-01,5.463
1960-07-01,5.469
1960-10-01,5.476
1961-01-01,5.483
1961-04-01,5.491
1961-07-01,5.498
1961-10-01,5.506
1962-01-01,5.514
1962-04-01,5.523
1962-07-01,5.531
1962-10-01,5.541
1963-01-01,5.551
1963-04-01,5.561
1963-07-01,5.572
1963-10-01,5.583
1964-01-01,5.595
1964-04-01,5.607
1964-07-01,5.62
1964-10-01,5.633
1965-01-01,5.645
1965-04-01,5.659
1965-07-01,5.672
1965-10-01,5.685
1966-01-01,5.697
1966-04-01,5.71
1966-07-01,5.722
1966-10-01,5.734
1967-01-01,5.746
1967-04-01,5.758
1967-07-01,5.769
1967-10-01,5.78
1968-01-01,5.792
1968-04-01,5.803
1968-07-01,5.815
1968-10-01,5.826
1969-01-01,5.838
1969-04-01,5.851
1969-07-01,5.863
1969-10-01,5.876
1970-01-01,5.89
1970-04-01,5.904
1970-07-01,5.918
1970-10-01,5.932
1971-01-01,5.947
1971-04-01,5.963
1971-07-01,5.978
1971-10-01,5.994
1972-01-01,6.009
1972-04-01,6.025
1972-07-01,6.041
1972-10-01,6.056
1973-01-01,6.071
1973-04-01,6.086
1973-07-01,6.10
1973-10-01,6.113
1974-01-01,6.126
1974-04-01,6.138
1974-07-01,6.15
1974-10-01,6.16
1975-01-01,6.17
1975-04-01,6.18
1975-07-01,6.188
1975-10-01,6.197
1976-01-01,6.204
1976-04-01,6.211
1976-07-01,6.217
1976-10-01,6.223
1977-01-01,6.227
1977-04-01,6.232
1977-07-01,6.235
1977-10-01,6.237
1978-01-01,6.239
1978-04-01,6.239
1978-07-01,6.239
1978-10-01,6.238
1979-01-01,6.235
1979-04-01,6.232
1979-07-01,6.228
1979-10-01,6.223
1980-01-01,6.217
1980-04-01,6.21
1980-07-01,6.203
1980-10-01,6.195
1981-01-01,6.187
1981-04-01,6.178
1981-07-01,6.169
1981-10-01,6.16
1982-01-01,6.15
1982-04-01,6.141
1982-07-01,6.131
1982-10-01,6.122
1983-01-01,6.112
1983-04-01,6.103
1983-07-01,6.094
1983-10-01,6.085
1984-01-01,6.076
1984-04-01,6.066
1984-07-01,6.057
1984-10-01,6.048
1985-01-01,6.038
1985-04-01,6.029
1985-07-01,6.019
1985-10-01,6.008
1986-01-01,5.997
1986-04-01,5.986
1986-07-01,5.973
1986-10-01,5.961
1987-01-01,5.947
1987-04-01,5.933
1987-07-01,5.917
1987-10-01,5.901
1988-01-01,5.885
1988-04-01,5.867
1988-07-01,5.849
1988-10-01,5.83
1989-01-01,5.811
1989-04-01,5.791
1989-07-01,5.772
1989-10-01,5.752
1990-01-01,5.732
1990-04-01,5.713
1990-07-01,5.693
1990-10-01,5.674
1991-01-01,5.656
1991-04-01,5.637
1991-07-01,5.619
1991-10-01,5.602
1992-01-01,5.585
1992-04-01,5.569
1992-07-01,5.553
1992-10-01,5.537
1993-01-01,5.522
1993-04-01,5.507
1993-07-01,5.493
1993-10-01,5.48
1994-01-01,5.467
1994-04-01,5.454
1994-07-01,5.442
1994-10-01,5.431
1995-01-01,5.42
1995-04-01,5.409
1995-07-01,5.399
1995-10-01,5.389
1996-01-01,5.379
1996-04-01,5.369
1996-07-01,5.36
1996-10-01,5.35
1997-01-01,5.341
1997-04-01,5.332
1997-07-01,5.323
1997-10-01,5.313
1998-01-01,5.304
1998-04-01,5.294
1998-07-01,5.285
1998-10-01,5.275
1999-01-01,5.265
1999-04-01,5.255
1999-07-01,5.245
1999-10-01,5.235
2000-01-01,5.224
2000-04-01,5.214
2000-07-01,5.204
2000-10-01,5.193
2001-01-01,5.183
2001-04-01,5.172
2001-07-01,5.161
2001-10-01,5.151
2002-01-01,5.14
2002-04-01,5.129
2002-07-01,5.119
2002-10-01,5.108
2003-01-01,5.097
2003-04-01,5.087
2003-07-01,5.077
2003-10-01,5.067
2004-01-01,5.057
2004-04-01,5.047
2004-07-01,5.038
2004-10-01,5.028
2005-01-01,5.02
2005-04-01,5.011
2005-07-01,5.003
2005-10-01,4.996
2006-01-01,4.99
2006-04-01,4.984
2006-07-01,4.976
2006-10-01,4.965
2007-01-01,4.95
2007-04-01,4.935
2007-07-01,4.919
2007-10-01,4.905
2008-01-01,4.892
2008-04-01,4.884
2008-07-01,4.882
2008-10-01,4.887
2009-01-01,4.901
2009-04-01,4.923
2009-07-01,4.95
2009-10-01,4.978
2010-01-01,5.005
2010-04-01,5.029
2010-07-01,5.047
2010-10-01,5.062
2011-01-01,5.073
2011-04-01,5.078
2011-07-01,5.079
2011-10-01,5.073
2012-01-01,5.06
2012-04-01,5.041
2012-07-01,5.018
2012-10-01,4.993
2013-01-01,4.966
2013-04-01,4.939
2013-07-01,4.912
2013-10-01,4.884
2014-01-01,4.855
2014-04-01,4.825
2014-07-01,4.793
2014-10-01,4.76
2015-01-01,4.728
2015-04-01,4.698
2015-07-01,4.674
2015-10-01,4.655
2016-01-01,4.641
2016-04-01,4.633
2016-07-01,4.626
2016-10-01,4.621
2017-01-01,4.616
2017-04-01,4.611
2017-07-01,4.607
2017-10-01,4.602
2018-01-01,4.597
2018-04-01,4.592
2018-07-01,4.587
2018-10-01,4.582
2019-01-01,4.577
2019-04-01,4.572
2019-07-01,4.567
2019-10-01,4.562
2020-01-01,4.558
2020-04-01,4.553
2020-07-01,4.548
2020-10-01,4.543
2021-01-01,4.538
2021-04-01,4.533
2021-07-01,4.528
2021-10-01,4.523
2022-01-01,4.519
2022-04-01,4.514
2022-07-01,4.51
2022-10-01,4.505
2023-01-01,4.501
2023-04-01,4.497
2023-07-01,4.492
2023-10-01,4.488
2024-01-01,4.484
2024-04-01,4.48
2024-07-01,4.476
2024-10-01,4.472
2025-01-01,4.468
2025-04-01,4.464
2025-07-01,4.46
2025-10-01,4.456
2026-01-01,4.452
2026-04-01,4.447
2026-07-01,4.443
2026-10-01,4.439
2027-01-01,4.434
2027-04-01,4.429
2027-07-01,4.425
2027-10-01,4.42
2028-01-01,4.415
2028-04-01,4.411
2028-07-01,4.406
2028-10-01,4.401
2029-01-01,4.396
2029-04-01,4.391
2029-07-01,4.386
2029-10-01,4.381
