Date,Voters,voters_expected,voters_observed
1992-08-18,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Melzer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Syron']",12.0,12.0
1992-10-06,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Melzer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Syron']",12.0,12.0
1992-11-17,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Melzer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Syron']",12.0,12.0
1992-12-22,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Melzer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Syron']",12.0,12.0
1993-02-03,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",12.0,12.0
1993-03-23,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",12.0,12.0
1993-05-18,"['Mr. Greenspan', 'Mr. Corrigan', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",12.0,12.0
1993-07-07,"['Mr. Greenspan', 'Mr. Mullins', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Oltman', 'Ms. Phillips', 'Mr. Stern']",12.0,12.0
1993-08-17,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",12.0,12.0
1993-09-21,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",12.0,12.0
1993-11-16,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",12.0,12.0
1993-12-21,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Angell', 'Mr. Boehne', 'Mr. Keehn', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Mullins', 'Ms. Phillips', 'Mr. Stern']",12.0,12.0
1994-02-04,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",10.0,10.0
1994-03-22,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",10.0,10.0
1994-05-17,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",10.0,10.0
1994-07-06,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips']",11.0,11.0
1994-08-16,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips', 'Ms. Yellen']",12.0,12.0
1994-09-27,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips', 'Ms. Yellen']",12.0,12.0
1994-11-15,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips', 'Ms. Yellen']",12.0,12.0
1994-12-20,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Broaddus', 'Mr. Forrestal', 'Mr. Jordan', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Parry', 'Ms. Phillips', 'Ms. Yellen']",12.0,12.0
1995-02-01,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. LaWare', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",12.0,12.0
1995-03-28,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Mr. Kohn']",11.0,11.0
1995-05-23,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",11.0,11.0
1995-07-06,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",11.0,11.0
1995-08-22,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",11.0,11.0
1995-09-26,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",11.0,11.0
1995-11-15,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",11.0,11.0
1995-12-19,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Blinder', 'Mr. Hoenig', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. Melzer', 'Ms. Minehan', 'Mr. Moskow', 'Ms. Phillips', 'Ms. Yellen']",11.0,11.0
1996-01-31,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Ms. Phillips', 'Mr. Stern', 'Ms. Yellen']",10.0,10.0
1996-03-26,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Ms. Phillips', 'Mr. Stern', 'Ms. Yellen']",10.0,10.0
1996-05-21,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Ms. Phillips', 'Mr. Stern', 'Ms. Yellen']",10.0,10.0
1996-07-03,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",12.0,12.0
1996-08-20,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",12.0,12.0
1996-09-24,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",12.0,12.0
1996-11-13,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",12.0,12.0
1996-12-17,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Lindsey', 'Mr. McTeer', 'Mr. Meyer', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Stern', 'Ms. Yellen']",12.0,12.0
1997-02-05,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",10.0,10.0
1997-03-25,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",10.0,10.0
1997-05-20,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",10.0,10.0
1997-07-02,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",10.0,10.0
1997-08-19,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",10.0,10.0
1997-09-30,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",10.0,10.0
1997-11-12,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",12.0,12.0
1997-12-16,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Moskow', 'Mr. Meyer', 'Mr. Parry', 'Ms. Phillips', 'Ms. Rivlin']",12.0,12.0
1998-02-04,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Ms. Phillips', 'Ms. Rivlin', 'Mr. Kohn']",12.0,12.0
1998-03-31,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Ms. Phillips', 'Mr. Poole', 'Ms. Rivlin']",12.0,12.0
1998-05-19,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Ms. Phillips', 'Mr. Poole', 'Ms. Rivlin']",12.0,12.0
1998-07-01,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",11.0,11.0
1998-08-18,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",11.0,11.0
1998-09-29,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",11.0,11.0
1998-11-17,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",11.0,11.0
1998-12-22,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Hoenig', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Ms. Minehan', 'Mr. Poole', 'Ms. Rivlin']",11.0,11.0
1999-02-03,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",11.0,11.0
1999-03-30,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",11.0,11.0
1999-05-18,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Ms. Rivlin', 'Mr. Stern']",11.0,11.0
1999-06-30,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",10.0,10.0
1999-08-24,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",10.0,10.0
1999-10-05,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",10.0,10.0
1999-11-16,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",10.0,10.0
1999-12-21,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Boehne', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Kelley', 'Mr. McTeer', 'Mr. Meyer', 'Mr. Moskow', 'Mr. Stern']",10.0,10.0
2000-02-02,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",10.0,10.0
2000-03-21,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",10.0,10.0
2000-05-16,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",10.0,10.0
2000-06-28,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",10.0,10.0
2000-08-22,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",10.0,10.0
2000-10-03,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",10.0,10.0
2000-11-15,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry', 'Mr. Hoenig']",10.0,10.0
2000-12-19,"['Mr. Greenspan', 'Mr. McDonough', 'Mr. Broaddus', 'Mr. Ferguson', 'Mr. Gramlich', 'Mr. Guynn', 'Mr. Jordan', 'Mr. Kelley', 'Mr. Meyer', 'Mr. Parry']",10.0,10.0
